Feature,Importance
Curricular_units_2nd_sem_approved,0.224968085617038
Curricular_units_1st_sem_approved,0.12076200483575078
Curricular_units_2nd_sem_grade,0.11255411484464281
Curricular_units_1st_sem_grade,0.0728235509511749
Tuition_fees_up_to_date,0.04995167336164677
Age_at_enrollment,0.03211938988714192
Curricular_units_2nd_sem_evaluations,0.03134539165808084
Admission_grade,0.02940635083932483
Course,0.026139813120148202
Previous_qualification_grade,0.025709655566403256
Curricular_units_1st_sem_evaluations,0.025671251178584105
Scholarship_holder,0.02280585783279362
Curricular_units_2nd_sem_enrolled,0.019579216763901383
Fathers_occupation,0.01842863919772539
Application_mode,0.01784057280176117
Mothers_occupation,0.01605687034631066
GDP,0.014898937988052285
Curricular_units_1st_sem_enrolled,0.014865559370297578
Fathers_qualification,0.0141800740517142
Unemployment_rate,0.014115076319191795
Debtor,0.014093978890749072
Inflation_rate,0.013601314639654617
Mothers_qualification,0.012480284663792213
Gender,0.011142982436271704
Application_order,0.009408032152663198
Curricular_units_1st_sem_credited,0.00669940791400373
Curricular_units_2nd_sem_credited,0.006411237329932204
Displaced,0.0052468825785218455
Curricular_units_1st_sem_without_evaluations,0.004196197621756396
Previous_qualification,0.003920435773098575
Curricular_units_2nd_sem_without_evaluations,0.0027136880983691354
Marital_status,0.00215327608138631
Daytime_evening_attendance,0.0018877339242300574
Nacionality,0.0008636241580488647
Educational_special_needs,0.0004890316469162467
International,0.0004698055589213015
